公表日時,時間,結果（%）
1994-05-01,18:00,0.1
1994-04-01,18:00,0.3
1994-03-01,18:00,0.2
1994-02-01,18:00,0.1
1994-01-01,18:00,0.3
1993-12-01,18:00,0.3
1993-11-01,18:00,0.3
1993-10-01,18:00,0.1
1993-09-01,18:00,0.3
1993-08-01,18:00,0.1
1993-07-01,18:00,0.2
1993-06-01,18:00,0.3
1993-05-01,18:00,0.4
1993-04-01,18:00,0.1
1993-03-01,18:00,0.3
1993-02-01,18:00,0.3
1993-01-01,18:00,0.3
1992-12-01,18:00,0.3
1992-11-01,18:00,0.5
1992-10-01,18:00,0.1
1992-09-01,18:00,0.2
1992-08-01,18:00,0.3
1992-07-01,18:00,0.2
1992-06-01,18:00,0.3
1992-05-01,18:00,0.3
1992-04-01,18:00,0.3
1992-03-01,18:00,0.2
1992-02-01,18:00,0.3
1992-01-01,18:00,0.3
1991-12-01,18:00,0.3
1991-11-01,18:00,0.2
1991-10-01,18:00,0.3
1991-09-01,18:00,0.4
1991-08-01,18:00,0.4
1991-07-01,18:00,0.4
1991-06-01,18:00,0.3
1991-05-01,18:00,0.3
1991-04-01,18:00,0.2
1991-03-01,18:00,0.5
1991-02-01,18:00,0.6
1991-01-01,18:00,0.4
1990-12-01,18:00,0.3
1990-11-01,18:00,0.4
1990-10-01,18:00,0.4
1990-09-01,18:00,0.6
1990-08-01,18:00,0.5
1990-07-01,18:00,0.5
1990-06-01,18:00,0.3
1990-05-01,18:00,0.4
1990-04-01,18:00,0.6
1990-03-01,18:00,0.5
1990-02-01,18:00,0.4
1990-01-01,18:00,0.4
1989-12-01,18:00,0.4
1989-11-01,18:00,0.5
1989-10-01,18:00,0.3
1989-09-01,18:00,0.2
1989-08-01,18:00,0.3
1989-07-01,18:00,0.4
1989-06-01,18:00,0.4
1989-05-01,18:00,0.3
1989-04-01,18:00,0.4
1989-03-01,18:00,0.3
1989-02-01,18:00,0.4
1989-01-01,18:00,0.3
1988-12-01,18:00,0.3
1988-11-01,18:00,0.4
1988-10-01,18:00,0.6
1988-09-01,18:00,0.3
1988-08-01,18:00,0.3
1988-07-01,18:00,0.4
1988-06-01,18:00,0.3
1988-05-01,18:00,0.5
1988-04-01,18:00,0.4
1988-03-01,18:00,0.2
1988-02-01,18:00,0.4
1988-01-01,18:00,0.2
1987-12-01,18:00,0.3
1987-11-01,18:00,0.5
1987-10-01,18:00,0.4
1987-09-01,18:00,0.3
1987-08-01,18:00,0.3
1987-07-01,18:00,0.2
1987-06-01,18:00,0.3
1987-05-01,18:00,0.6
1987-04-01,18:00,0.3
1987-03-01,18:00,0.3
1987-02-01,18:00,0.3
1987-01-01,18:00,0.3
1986-12-01,18:00,0.3
1986-11-01,18:00,0.3
1986-10-01,18:00,0.4
1986-09-01,18:00,0.4
1986-08-01,18:00,0.4
1986-07-01,18:00,0.3
1986-06-01,18:00,0.2
1986-05-01,18:00,0.4
1986-04-01,18:00,0.3
1986-03-01,18:00,0.3
1986-02-01,18:00,0.4
1986-01-01,18:00,0.3
1985-12-01,18:00,0.5
1985-11-01,18:00,0.5
1985-10-01,18:00,0.2
1985-09-01,18:00,0.4
1985-08-01,18:00,0.3
1985-07-01,18:00,0.3
1985-06-01,18:00,0.4
1985-05-01,18:00,0.3
1985-04-01,18:00,0.4
1985-03-01,18:00,0.6
1985-02-01,18:00,0.3
1985-01-01,18:00,0.4
1984-12-01,18:00,0.2
1984-11-01,18:00,0.4
1984-10-01,18:00,0.4
1984-09-01,18:00,0.4
1984-08-01,18:00,0.5
1984-07-01,18:00,0.4
1984-06-01,18:00,0.4
1984-05-01,18:00,0.5
1984-04-01,18:00,0.4
1984-03-01,18:00,0.3
1984-02-01,18:00,0.7
1984-01-01,18:00,0.3
1983-12-01,18:00,0.5
1983-11-01,18:00,0.5
1983-10-01,18:00,0.4
1983-09-01,18:00,0.3
1983-08-01,18:00,0.6
1983-07-01,18:00,0.3
1983-06-01,18:00,0.3
1983-05-01,18:00,0.4
1983-04-01,18:00,0.2
1983-03-01,18:00,0.4
1983-02-01,18:00,0.4
1983-01-01,18:00,-0.1
1982-12-01,18:00,-0.2
1982-11-01,18:00,0.3
1982-10-01,18:00,0.1
1982-09-01,18:00,0.4
1982-08-01,18:00,0.6
1982-07-01,18:00,0.7
1982-06-01,18:00,0.7
1982-05-01,18:00,0.9
1982-04-01,18:00,0.1
1982-03-01,18:00,0.5
1982-02-01,18:00,0.3
1982-01-01,18:00,0.5
1981-12-01,18:00,0.4
1981-11-01,18:00,0.3
1981-10-01,18:00,1.2
1981-09-01,18:00,1.0
1981-08-01,18:00,1.4
1981-07-01,18:00,0.9
1981-06-01,18:00,0.9
1981-05-01,18:00,0.7
1981-04-01,18:00,0.6
1981-03-01,18:00,0.6
1981-02-01,18:00,0.6
1981-01-01,18:00,1.2
1980-12-01,18:00,1.1
1980-11-01,18:00,1.1
1980-10-01,18:00,1.0
1980-09-01,18:00,0.6
1980-08-01,18:00,-0.2
1980-07-01,18:00,1.1
1980-06-01,18:00,0.8
1980-05-01,18:00,1.1
