公表日時,時間,結果,予想,前回,
2017年03月31日 (3月),23:00,96.9,97.6,97.6,
2017年03月17日 (3月),23:00  ,97.6,97.0,95.7,
2017年02月25日 (2月),00:00,96.3,96.0,95.7,
2017年02月11日 (2月),00:00  ,95.7,97.9,98.5,
2017年01月28日 (1月),00:00,98.5,98.1,98.1,
2017年01月14日 (1月),00:00  ,98.1,98.5,98.2,
2016年12月24日 (12月),00:00,98.2,98.0,98.0,
2016年12月10日 (12月),00:00  ,98.0,94.5,93.8,
2016年11月24日 (11月),00:00,93.8,91.6,91.6,
2016年11月12日 (11月),00:00  ,91.6,87.5,87.2,
2016年10月28日 (10月),23:00,87.2,88.1,87.9,
2016年10月14日 (10月),23:00  ,87.9,91.9,91.2,
2016年09月30日 (9月),23:00,91.2,90.0,89.8,
2016年09月16日 (9月),23:00  ,89.8,90.8,89.8,
2016年08月26日 (8月),23:00,89.8,90.6,90.4,
2016年08月12日 (8月),23:00  ,90.4,91.5,90.0,
2016年07月29日 (7月),23:00,90.0,90.5,89.5,
2016年07月15日 (7月),23:00  ,89.5,93.5,93.5,
2016年06月24日 (6月),23:00,93.5,94.0,94.3,
2016年06月10日 (6月),23:00  ,94.3,94.0,94.7,
2016年05月27日 (5月),23:00,94.7,95.4,95.8,
2016年05月13日 (5月),23:00  ,95.8,90.0,89.0,
2016年04月29日 (4月),23:00,89.0,90.0,89.7,
2016年04月15日 (4月),23:00  ,89.7,92.0,91.0,
2016年04月01日 (3月),23:00,91.0,90.5,90.0,
2016年03月18日 (3月),23:00  ,90.0,92.2,91.7,
2016年02月27日 (2月),00:00,91.7,91.0,90.7,
2016年02月12日 (2月),23:55  ,90.7,92.0,92.0,
2016年01月30日 (1月),00:00,92.0,93.0,93.3,
2016年01月15日 (1月),23:55  ,93.3,93.0,92.6,
2015年12月24日 (12月),00:00,92.6,92.0,91.8,
2015年12月12日 (12月),00:00  ,91.8,92.0,91.3,
2015年11月26日 (11月),00:00,91.3,93.1,93.1,
2015年11月14日 (11月),00:00  ,93.1,91.5,90.0,
2015年10月30日 (10月),23:00,90.0,92.5,92.1,
2015年10月16日 (10月),23:00  ,92.1,89.0,87.2,
2015年09月25日 (9月),23:00,87.2,86.7,85.7,
2015年09月11日 (9月),23:00  ,85.7,91.2,91.9,
2015年08月28日 (8月),23:00,91.9,93.0,92.9,
2015年08月14日 (8月),23:00  ,92.9,93.5,93.1,
2015年07月31日 (7月),23:00,93.1,94.0,93.3,
2015年07月17日 (7月),23:00  ,93.3,96.1,96.1,
2015年06月26日 (6月),23:00,96.1,94.6,94.6,
2015年06月12日 (6月),23:00  ,94.6,91.5,90.7,
2015年05月29日 (5月),23:00,90.7,89.9,88.6,
2015年05月15日 (5月),23:00  ,88.6,96.0,95.9,
2015年05月01日 (4月),23:00,95.9,96.0,95.9,
2015年04月17日 (4月),23:00  ,95.9,94.0,93.0,
2015年03月27日 (3月),23:00,93.0,92.0,91.2,
2015年03月13日 (3月),23:00  ,91.2,95.5,95.4,
