公表日時,時間,結果,予想,前回,
2012年05月15日,21:30,0.2%,0.2%,0.2%,
2012年04月13日,21:30,0.2%,0.2%,0.1%,
2012年03月16日,21:30,0.1%,0.2%,0.2%,
2012年02月17日,22:30,0.2%,0.3%,0.1%,
2012年01月19日,22:30,0.1%,0.1%,0.2%,
2011年12月16日,22:30,0.2%,0.2%,0.1%,
2011年11月16日,22:30,0.1%,0.1%,0.1%,
2011年10月19日,21:30,0.1%,0.2%,0.2%,
2011年09月15日,21:30,0.2%,0.2%,0.2%,
2011年08月18日,21:30,0.2%,0.2%,0.3%,
2011年07月15日,21:30,0.3%,0.2%,0.3%,
2011年06月15日,21:30,0.3%,0.2%,0.2%,
2011年05月13日,21:30,0.2%,0.2%,0.1%,
2011年04月15日,21:30,0.1%,0.2%,0.2%,
2011年03月17日,21:30,0.2%,0.1%,0.2%,
2011年02月17日,22:30,0.2%,0.1%,0.1%,
2011年01月14日,22:30,0.1%,0.1%,0.1%,
2010年12月15日,22:30,0.1%,0.1%,0.0%,
2010年11月17日,22:30,0.0%,0.1%,0.0%,
2010年10月15日,21:30,0.0%,0.1%,0.0%,
2010年09月17日,21:30,0.0%,0.1%,0.1%,
2010年08月13日,21:30,0.1%,0.1%,0.2%,
2010年07月16日,21:30,0.2%,0.1%,0.1%,
2010年06月17日,21:30,0.1%,0.1%,0.0%,
2010年05月19日,21:30,0.0%,0.1%,0.0%,
2010年04月14日,21:30,0.0%,0.1%,0.1%,
2010年03月18日,21:30,0.1%,0.1%,-0.1%,
2010年02月19日,22:30,-0.1%,0.2%,0.1%,
2010年01月15日,22:30,0.1%,0.1%,0.0%,
2009年12月16日,22:30,0.0%,0.1%,0.2%,
2009年11月18日,22:30,0.2%,0.1%,0.2%,
2009年10月15日,21:30,0.2%,0.1%,0.1%,
2009年09月16日,21:30,0.1%,0.1%,0.1%,
2009年08月14日,21:30,0.1%,0.1%,0.2%,
2009年07月15日,21:30,0.2%,0.2%,0.1%,
2009年06月17日,21:30,0.1%,0.1%,0.3%,
2009年05月15日,21:30,0.3%,0.1%,0.2%,
2009年04月15日,21:30,0.2%,0.1%,0.2%,
2009年03月18日,21:30,0.2%,0.1%,0.2%,
2009年02月20日,22:30,0.2%,0.1%,0.0%,
2009年01月16日,22:30,0.0%,0.1%,0.0%,
2008年12月16日,22:30,0.0%,0.1%,-0.1%,
2008年11月19日,22:30,-0.1%,0.1%,0.1%,
2008年10月16日,21:30,0.4%,0.2%,0.2%,
2008年09月16日,21:30,0.2%,0.2%,0.3%,
2008年08月14日,21:30,0.3%,0.2%,0.3%,
2008年07月16日,21:30,0.3%,0.2%,0.2%,
2008年06月13日,21:30,0.2%,0.2%,0.1%,
2008年05月14日,22:30,0.1%,0.2%,0.2%,
2008年04月16日,21:30,0.2%,0.2%,0.0%,
2008年03月14日,21:30,0.0%,0.2%,0.3%,
2008年02月20日,22:30,0.3%,0.2%,0.2%,
2008年01月16日 (12月),22:30,0.2%, ,0.3%,
2007年12月14日 (11月),22:30,0.3%, ,0.2%,
2007年11月15日 (10月),22:30,0.2%, ,0.2%,
2007年10月17日 (9月),21:30,0.2%, ,0.2%,
2007年09月19日 (8月),21:30,0.2%, ,0.2%,
2007年08月15日 (7月),21:30,0.2%, ,0.2%,
2007年07月18日 (6月),21:30,0.2%, ,0.1%,
2007年06月15日 (5月),21:30,0.1%, ,0.2%,
2007年05月15日 (4月),21:30,0.2%, ,0.1%,
2007年04月17日 (3月),21:30,0.1%, ,0.3%,
2007年03月16日 (2月),21:30,0.3%, ,0.2%,
2007年02月21日 (1月),22:30,0.2%, ,0.1%,
2007年01月18日 (12月),22:30,0.1%, ,0.1%,
2006年12月15日 (11月),22:30,0.1%, ,0.2%,
2006年11月16日 (10月),22:30,0.2%, ,0.2%,
2006年10月18日 (9月),22:30,0.2%, ,0.2%,
2006年09月15日 (8月),21:30,0.2%, ,0.2%,
2006年08月16日 (7月),21:30,0.2%, ,0.2%,
2006年07月19日 (6月),21:30,0.2%, ,0.3%,
2006年06月14日 (5月),21:30,0.3%, ,0.2%,
2006年05月17日 (4月),21:30,0.2%, ,0.3%,
2006年04月19日 (3月),21:30,0.3%, ,0.2%,
2006年03月16日 (2月),21:30,0.2%, ,0.2%,
2006年02月22日 (1月),22:30,0.2%, ,0.1%,
2006年01月18日 (12月),22:30,0.1%, ,0.2%,
2005年12月15日 (11月),22:30,0.2%, ,0.3%,
2005年11月16日 (10月),22:30,0.3%, ,0.1%,
2005年10月14日 (9月),22:30,0.1%, ,0.1%,
2005年09月15日 (8月),21:30,0.1%, ,0.1%,
2005年08月16日 (7月),21:30,0.1%, ,0.0%,
2005年07月14日 (6月),21:30,0.0%, ,0.1%,
2005年06月15日 (5月),21:30,0.1%, ,0.0%,
2005年05月18日 (4月),21:30,0.0%, ,0.4%,
2005年04月20日 (3月),21:30,0.4%, ,0.2%,
2005年03月23日 (2月),21:30,0.2%, ,0.2%,
2005年02月23日 (1月),22:30,0.2%, ,0.2%,
2005年01月01日 (12月),18:00,0.20%, ,0.20%,
2004年12月01日 (11月),18:00,0.20%, ,0.20%,
2004年11月01日 (10月),18:00,0.20%, ,0.30%,
2004年10月01日 (9月),18:00,0.30%, ,0.10%,
2004年09月01日 (8月),18:00,0.10%, ,0.10%,
2004年08月01日 (7月),18:00,0.10%, ,0.20%,
2004年07月01日 (6月),18:00,0.20%, ,0.20%,
2004年06月01日 (5月),18:00,0.20%, ,0.20%,
2004年05月01日 (4月),18:00,0.20%, ,0.30%,
2004年04月01日 (3月),18:00,0.30%, ,0.20%,
2004年03月01日 (2月),18:00,0.20%, ,0.20%,
2004年02月01日 (1月),18:00,0.20%, ,0.10%,
2004年01月01日 (12月),18:00,0.10%, ,0.00%,
2003年12月01日 (11月),18:00,0.00%, ,0.20%,
2003年11月01日 (10月),18:00,0.20%, ,0.10%,
2003年10月01日 (9月),18:00,0.10%, ,0.10%,
2003年09月01日 (8月),18:00,0.10%, ,0.20%,
2003年08月01日 (7月),18:00,0.20%, ,0.10%,
2003年07月01日 (6月),18:00,0.10%, ,0.20%,
2003年06月01日 (5月),18:00,0.20%, ,0.00%,
2003年05月01日 (4月),18:00,0.00%, ,0.00%,
2003年04月01日 (3月),18:00,0.00%, ,0.10%,
2003年03月01日 (2月),18:00,0.10%, ,0.20%,
2003年02月01日 (1月),18:00,0.20%, ,0.10%,
2003年01月01日 (12月),18:00,0.10%, ,0.20%,
2002年12月01日 (11月),18:00,0.20%, ,0.10%,
2002年11月01日 (10月),18:00,0.10%, ,0.10%,
2002年10月01日 (9月),18:00,0.10%, ,0.30%,
2002年09月01日 (8月),18:00,0.30%, ,0.20%,
2002年08月01日 (7月),18:00,0.20%, ,0.10%,
2002年07月01日 (6月),18:00,0.10%, ,0.20%,
2002年06月01日 (5月),18:00,0.20%, ,0.30%,
2002年05月01日 (4月),18:00,0.30%, ,0.10%,
2002年04月01日 (3月),18:00,0.10%, ,0.20%,
2002年03月01日 (2月),18:00,0.20%, ,0.20%,
2002年02月01日 (1月),18:00,0.20%, ,0.20%,
2002年01月01日 (12月),18:00,0.20%, ,0.40%,
2001年12月01日 (11月),18:00,0.40%, ,0.20%,
2001年11月01日 (10月),18:00,0.20%, ,0.20%,
2001年10月01日 (9月),18:00,0.20%, ,0.20%,
2001年09月01日 (8月),18:00,0.20%, ,0.20%,
2001年08月01日 (7月),18:00,0.20%, ,0.40%,
2001年07月01日 (6月),18:00,0.40%, ,0.10%,
2001年06月01日 (5月),18:00,0.10%, ,0.20%,
2001年05月01日 (4月),18:00,0.20%, ,0.20%,
2001年04月01日 (3月),18:00,0.20%, ,0.30%,
2001年03月01日 (2月),18:00,0.30%, ,0.30%,
2001年02月01日 (1月),18:00,0.30%, ,0.10%,
2001年01月01日 (12月),18:00,0.10%, ,0.30%,
2000年12月01日 (11月),18:00,0.30%, ,0.20%,
2000年11月01日 (10月),18:00,0.20%, ,0.20%,
2000年10月01日 (9月),18:00,0.20%, ,0.20%,
2000年09月01日 (8月),18:00,0.20%, ,0.20%,
2000年08月01日 (7月),18:00,0.20%, ,0.20%,
2000年07月01日 (6月),18:00,0.20%, ,0.20%,
2000年06月01日 (5月),18:00,0.20%, ,0.20%,
2000年05月01日 (4月),18:00,0.20%, ,0.30%,
2000年04月01日 (3月),18:00,0.30%, ,0.10%,
2000年03月01日 (2月),18:00,0.10%, ,0.30%,
2000年02月01日 (1月),18:00,0.30%, ,0.20%,
2000年01月01日 (12月),18:00,0.20%, ,0.20%,
1999年12月01日 (11月),18:00,0.20%, ,0.20%,
1999年11月01日 (10月),18:00,0.20%, ,0.30%,
1999年10月01日 (9月),18:00,0.30%, ,0.10%,
1999年09月01日 (8月),18:00,0.10%, ,0.30%,
1999年08月01日 (7月),18:00,0.30%, ,0.10%,
1999年07月01日 (6月),18:00,0.10%, ,0.10%,
1999年06月01日 (5月),18:00,0.10%, ,0.30%,
1999年05月01日 (4月),18:00,0.30%, ,0.10%,
1999年04月01日 (3月),18:00,0.10%, ,0.00%,
1999年03月01日 (2月),18:00,0.00%, ,0.10%,
1999年02月01日 (1月),18:00,0.10%, ,0.30%,
1999年01月01日 (12月),18:00,0.30%, ,0.20%,
1998年12月01日 (11月),18:00,0.20%, ,0.10%,
1998年11月01日 (10月),18:00,0.10%, ,0.10%,
1998年10月01日 (9月),18:00,0.10%, ,0.30%,
1998年09月01日 (8月),18:00,0.30%, ,0.20%,
1998年08月01日 (7月),18:00,0.20%, ,0.20%,
1998年07月01日 (6月),18:00,0.20%, ,0.20%,
1998年06月01日 (5月),18:00,0.20%, ,0.20%,
1998年05月01日 (4月),18:00,0.20%, ,0.20%,
1998年04月01日 (3月),18:00,0.20%, ,0.20%,
1998年03月01日 (2月),18:00,0.20%, ,0.20%,
1998年02月01日 (1月),18:00,0.20%, ,0.20%,
1998年01月01日 (12月),18:00,0.20%, ,0.10%,
1997年12月01日 (11月),18:00,0.10%, ,0.20%,
1997年11月01日 (10月),18:00,0.20%, ,0.20%,
1997年10月01日 (9月),18:00,0.20%, ,0.10%,
1997年09月01日 (8月),18:00,0.10%, ,0.20%,
1997年08月01日 (7月),18:00,0.20%, ,0.10%,
1997年07月01日 (6月),18:00,0.10%, ,0.20%,
1997年06月01日 (5月),18:00,0.20%, ,0.30%,
1997年05月01日 (4月),18:00,0.30%, ,0.20%,
1997年04月01日 (3月),18:00,0.20%, ,0.20%,
1997年03月01日 (2月),18:00,0.20%, ,0.20%,
1997年02月01日 (1月),18:00,0.20%, ,0.10%,
1997年01月01日 (12月),18:00,0.10%, ,0.20%,
1996年12月01日 (11月),18:00,0.20%, ,0.20%,
1996年11月01日 (10月),18:00,0.20%, ,0.30%,
1996年10月01日 (9月),18:00,0.30%, ,0.20%,
1996年09月01日 (8月),18:00,0.20%, ,0.20%,
1996年08月01日 (7月),18:00,0.20%, ,0.20%,
1996年07月01日 (6月),18:00,0.20%, ,0.20%,
1996年06月01日 (5月),18:00,0.20%, ,0.10%,
1996年05月01日 (4月),18:00,0.10%, ,0.20%,
1996年04月01日 (3月),18:00,0.20%, ,0.20%,
1996年03月01日 (2月),18:00,0.20%, ,0.40%,
1996年02月01日 (1月),18:00,0.40%, ,0.10%,
1996年01月01日 (12月),18:00,0.10%, ,0.20%,
1995年12月01日 (11月),18:00,0.20%, ,0.30%,
