公表日時,時間,結果,予想,前回,
2005年08月01日 (7月),18:00,-0.20%, ,0.40%,
2005年07月01日 (6月),18:00,0.40%, ,0.20%,
2005年06月01日 (5月),18:00,0.20%, ,0.10%,
2005年05月01日 (4月),18:00,0.10%, ,-0.10%,
2005年04月01日 (3月),18:00,-0.10%, ,0.60%,
2005年03月01日 (2月),18:00,0.60%, ,0.50%,
2005年02月01日 (1月),18:00,0.50%, ,0.70%,
2005年01月01日 (12月),18:00,0.70%, ,0.20%,
2004年12月01日 (11月),18:00,0.20%, ,1.00%,
2004年11月01日 (10月),18:00,1.00%, ,0.10%,
2004年10月01日 (9月),18:00,0.10%, ,0.00%,
2004年09月01日 (8月),18:00,0.00%, ,0.80%,
2004年08月01日 (7月),18:00,0.80%, ,-0.80%,
2004年07月01日 (6月),18:00,-0.80%, ,0.80%,
2004年06月01日 (5月),18:00,0.80%, ,0.40%,
2004年05月01日 (4月),18:00,0.40%, ,-0.50%,
2004年04月01日 (3月),18:00,-0.50%, ,0.50%,
2004年03月01日 (2月),18:00,0.50%, ,0.30%,
2004年02月01日 (1月),18:00,0.30%, ,-0.10%,
2004年01月01日 (12月),18:00,-0.10%, ,0.80%,
2003年12月01日 (11月),18:00,0.80%, ,0.10%,
2003年11月01日 (10月),18:00,0.10%, ,0.60%,
2003年10月01日 (9月),18:00,0.60%, ,-0.30%,
2003年09月01日 (8月),18:00,-0.30%, ,0.60%,
2003年08月01日 (7月),18:00,0.60%, ,0.00%,
2003年07月01日 (6月),18:00,0.00%, ,0.00%,
2003年06月01日 (5月),18:00,0.00%, ,-0.80%,
2003年05月01日 (4月),18:00,-0.80%, ,-0.20%,
2003年04月01日 (3月),18:00,-0.20%, ,0.30%,
2003年03月01日 (2月),18:00,0.30%, ,0.70%,
2003年02月01日 (1月),18:00,0.70%, ,-0.50%,
2003年01月01日 (12月),18:00,-0.50%, ,0.50%,
2002年12月01日 (11月),18:00,0.50%, ,-0.30%,
2002年11月01日 (10月),18:00,-0.30%, ,0.10%,
2002年10月01日 (9月),18:00,0.10%, ,0.00%,
2002年09月01日 (8月),18:00,0.00%, ,-0.20%,
2002年08月01日 (7月),18:00,-0.20%, ,1.00%,
2002年07月01日 (6月),18:00,1.00%, ,0.40%,
2002年06月01日 (5月),18:00,0.40%, ,0.50%,
2002年05月01日 (4月),18:00,0.50%, ,0.80%,
2002年04月01日 (3月),18:00,0.80%, ,0.00%,
2002年03月01日 (2月),18:00,0.00%, ,0.60%,
2002年02月01日 (1月),18:00,0.60%, ,0.00%,
2002年01月01日 (12月),18:00,0.00%, ,-0.50%,
2001年12月01日 (11月),18:00,-0.50%, ,-0.50%,
2001年11月01日 (10月),18:00,-0.50%, ,-0.40%,
2001年10月01日 (9月),18:00,-0.40%, ,-0.20%,
2001年09月01日 (8月),18:00,-0.20%, ,-0.50%,
2001年08月01日 (7月),18:00,-0.50%, ,-0.70%,
2001年07月01日 (6月),18:00,-0.70%, ,-0.70%,
2001年06月01日 (5月),18:00,-0.70%, ,-0.30%,
2001年05月01日 (4月),18:00,-0.30%, ,-0.30%,
2001年04月01日 (3月),18:00,-0.30%, ,-0.60%,
2001年03月01日 (2月),18:00,-0.60%, ,-0.70%,
2001年02月01日 (1月),18:00,-0.70%, ,-0.30%,
2001年01月01日 (12月),18:00,-0.30%, ,0.00%,
2000年12月01日 (11月),18:00,0.00%, ,-0.30%,
2000年11月01日 (10月),18:00,-0.30%, ,0.40%,
2000年10月01日 (9月),18:00,0.40%, ,-0.30%,
2000年09月01日 (8月),18:00,-0.30%, ,-0.10%,
2000年08月01日 (7月),18:00,-0.10%, ,0.10%,
2000年07月01日 (6月),18:00,0.10%, ,0.20%,
2000年06月01日 (5月),18:00,0.20%, ,0.70%,
2000年05月01日 (4月),18:00,0.70%, ,0.40%,
2000年04月01日 (3月),18:00,0.40%, ,0.30%,
2000年03月01日 (2月),18:00,0.30%, ,0.00%,
2000年02月01日 (1月),18:00,0.00%, ,0.80%,
2000年01月01日 (12月),18:00,0.80%, ,0.50%,
1999年12月01日 (11月),18:00,0.50%, ,1.30%,
1999年11月01日 (10月),18:00,1.30%, ,-0.40%,
1999年10月01日 (9月),18:00,-0.40%, ,0.40%,
1999年09月01日 (8月),18:00,0.40%, ,0.60%,
1999年08月01日 (7月),18:00,0.60%, ,-0.20%,
1999年07月01日 (6月),18:00,-0.20%, ,0.80%,
1999年06月01日 (5月),18:00,0.80%, ,0.20%,
1999年05月01日 (4月),18:00,0.20%, ,0.20%,
1999年04月01日 (3月),18:00,0.20%, ,0.50%,
1999年03月01日 (2月),18:00,0.50%, ,0.50%,
1999年02月01日 (1月),18:00,0.50%, ,0.40%,
1999年01月01日 (12月),18:00,0.40%, ,0.00%,
1998年12月01日 (11月),18:00,0.00%, ,0.80%,
1998年11月01日 (10月),18:00,0.80%, ,-0.30%,
1998年10月01日 (9月),18:00,-0.30%, ,2.10%,
1998年09月01日 (8月),18:00,2.10%, ,-0.40%,
1998年08月01日 (7月),18:00,-0.40%, ,-0.70%,
1998年07月01日 (6月),18:00,-0.70%, ,0.60%,
