公表日時,時間,結果,予想,前回,
2006年10月01日 (9月),21:30,4.5%, ,4.7%,
2006年09月01日 (8月),21:30,4.7%, ,4.7%,
2006年08月01日 (7月),21:30,4.7%, ,4.6%,
2006年07月01日 (6月),21:30,4.6%, ,4.6%,
2006年06月01日 (5月),21:30,4.6%, ,4.7%,
2006年05月01日 (4月),21:30,4.7%, ,4.7%,
2006年04月01日 (3月),21:30,4.7%, ,4.8%,
2006年03月01日 (2月),21:30,4.8%, ,4.7%,
2006年02月01日 (1月),21:30,4.7%, ,4.9%,
2006年01月01日 (12月),21:30,4.9%, ,5%,
2005年12月01日 (11月),21:30,5%, ,5%,
2005年11月01日 (10月),21:30,5%, ,5%,
2005年10月01日 (9月),21:30,5%, ,4.9%,
2005年09月01日 (8月),21:30,4.9%, ,5%,
2005年08月01日 (7月),21:30,5%, ,5%,
2005年07月01日 (6月),21:30,5%, ,5.1%,
2005年06月01日 (5月),21:30,5.1%, ,5.2%,
2005年05月01日 (4月),21:30,5.2%, ,5.2%,
2005年04月01日 (3月),21:30,5.2%, ,5.4%,
2005年03月01日 (2月),21:30,5.4%, ,5.3%,
2005年02月01日 (1月),21:30,5.3%, ,5.4%,
2005年01月01日 (12月),21:30,5.4%, ,5.4%,
2004年12月01日 (11月),21:30,5.4%, ,5.5%,
2004年11月01日 (10月),21:30,5.5%, ,5.4%,
2004年10月01日 (9月),21:30,5.4%, ,5.4%,
2004年09月01日 (8月),21:30,5.4%, ,5.5%,
2004年08月01日 (7月),21:30,5.5%, ,5.6%,
2004年07月01日 (6月),21:30,5.6%, ,5.6%,
2004年06月01日 (5月),21:30,5.6%, ,5.6%,
2004年05月01日 (4月),21:30,5.6%, ,5.8%,
2004年04月01日 (3月),21:30,5.8%, ,5.6%,
2004年03月01日 (2月),21:30,5.6%, ,5.7%,
2004年02月01日 (1月),21:30,5.7%, ,5.7%,
2004年01月01日 (12月),21:30,5.7%, ,5.8%,
2003年12月01日 (11月),21:30,5.8%, ,6%,
2003年11月01日 (10月),21:30,6%, ,6.1%,
2003年10月01日 (9月),21:30,6.1%, ,6.1%,
2003年09月01日 (8月),21:30,6.1%, ,6.2%,
2003年08月01日 (7月),21:30,6.2%, ,6.3%,
