公表日時,時間,結果,予想,前回,
1994年04月01日 (3月),18:00,86.70, ,79.90,
1994年03月01日 (2月),18:00,79.90, ,82.60,
1994年02月01日 (1月),18:00,82.60, ,79.80,
1994年01月01日 (12月),18:00,79.80, ,71.90,
1993年12月01日 (11月),18:00,71.90, ,60.50,
1993年11月01日 (10月),18:00,60.50, ,63.80,
1993年10月01日 (9月),18:00,63.80, ,59.30,
1993年09月01日 (8月),18:00,59.30, ,59.20,
1993年08月01日 (7月),18:00,59.20, ,58.60,
1993年07月01日 (6月),18:00,58.60, ,61.90,
1993年06月01日 (5月),18:00,61.90, ,67.60,
1993年05月01日 (4月),18:00,67.60, ,63.20,
1993年04月01日 (3月),18:00,63.20, ,68.50,
1993年03月01日 (2月),18:00,68.50, ,76.70,
1993年02月01日 (1月),18:00,76.70, ,78.10,
1993年01月01日 (12月),18:00,78.10, ,65.60,
1992年12月01日 (11月),18:00,65.60, ,54.60,
1992年11月01日 (10月),18:00,54.60, ,57.30,
1992年10月01日 (9月),18:00,57.30, ,59.00,
1992年09月01日 (8月),18:00,59.00, ,61.20,
1992年08月01日 (7月),18:00,61.20, ,72.60,
1992年07月01日 (6月),18:00,72.60, ,71.90,
1992年06月01日 (5月),18:00,71.90, ,65.10,
1992年05月01日 (4月),18:00,65.10, ,56.50,
1992年04月01日 (3月),18:00,56.50, ,47.30,
1992年03月01日 (2月),18:00,47.30, ,50.20,
1992年02月01日 (1月),18:00,50.20, ,52.50,
1992年01月01日 (12月),18:00,52.50, ,52.70,
1991年12月01日 (11月),18:00,52.70, ,60.10,
1991年11月01日 (10月),18:00,60.10, ,72.90,
1991年10月01日 (9月),18:00,72.90, ,76.10,
1991年09月01日 (8月),18:00,76.10, ,77.70,
1991年08月01日 (7月),18:00,77.70, ,78.00,
1991年07月01日 (6月),18:00,78.00, ,76.40,
1991年06月01日 (5月),18:00,76.40, ,79.40,
1991年05月01日 (4月),18:00,79.40, ,81.10,
1991年04月01日 (3月),18:00,81.10, ,59.40,
1991年03月01日 (2月),18:00,59.40, ,55.10,
1991年02月01日 (1月),18:00,55.10, ,61.20,
1991年01月01日 (12月),18:00,61.20, ,61.70,
1990年12月01日 (11月),18:00,61.70, ,62.60,
1990年11月01日 (10月),18:00,62.60, ,85.60,
1990年10月01日 (9月),18:00,85.60, ,84.70,
1990年09月01日 (8月),18:00,84.70, ,101.70,
1990年08月01日 (7月),18:00,101.70, ,102.40,
1990年07月01日 (6月),18:00,102.40, ,107.30,
1990年06月01日 (5月),18:00,107.30, ,107.30,
1990年05月01日 (4月),18:00,107.30, ,110.60,
1990年04月01日 (3月),18:00,110.60, ,106.70,
1990年03月01日 (2月),18:00,106.70, ,106.50,
1990年02月01日 (1月),18:00,106.50, ,113.00,
1990年01月01日 (12月),18:00,113.00, ,115.10,
1989年12月01日 (11月),18:00,115.10, ,117.00,
1989年11月01日 (10月),18:00,117.00, ,116.30,
1989年10月01日 (9月),18:00,116.30, ,115.40,
1989年09月01日 (8月),18:00,115.40, ,120.40,
1989年08月01日 (7月),18:00,120.40, ,117.20,
1989年07月01日 (6月),18:00,117.20, ,116.70,
1989年06月01日 (5月),18:00,116.70, ,116.60,
1989年05月01日 (4月),18:00,116.60, ,117.40,
1989年04月01日 (3月),18:00,117.40, ,120.70,
1989年03月01日 (2月),18:00,120.70, ,115.80,
1989年02月01日 (1月),18:00,115.80, ,119.40,
1989年01月01日 (12月),18:00,119.40, ,112.90,
1988年12月01日 (11月),18:00,112.90, ,116.90,
1988年11月01日 (10月),18:00,116.90, ,110.70,
1988年10月01日 (9月),18:00,110.70, ,119.70,
1988年09月01日 (8月),18:00,119.70, ,113.50,
1988年08月01日 (7月),18:00,113.50, ,115.70,
1988年07月01日 (6月),18:00,115.70, ,120.20,
1988年06月01日 (5月),18:00,120.20, ,115.70,
1988年05月01日 (4月),18:00,115.70, ,112.70,
1988年04月01日 (3月),18:00,112.70, ,114.90,
1988年03月01日 (2月),18:00,114.90, ,109.90,
1988年02月01日 (1月),18:00,109.90, ,107.70,
1988年01月01日 (12月),18:00,107.70, ,100.80,
1987年12月01日 (11月),18:00,100.80, ,115.10,
1987年11月01日 (10月),18:00,115.10, ,115.70,
1987年10月01日 (9月),18:00,115.70, ,110.70,
1987年09月01日 (8月),18:00,110.70, ,105.80,
1987年08月01日 (7月),18:00,105.80, ,102.10,
1987年07月01日 (6月),18:00,102.10, ,103.00,
1987年06月01日 (5月),18:00,103.00, ,97.40,
1987年05月01日 (4月),18:00,97.40, ,95.80,
1987年04月01日 (3月),18:00,95.80, ,91.80,
1987年03月01日 (2月),18:00,91.80, ,85.40,
1987年02月01日 (1月),18:00,85.40, ,93.20,
1987年01月01日 (12月),18:00,93.20, ,89.70,
1986年12月01日 (11月),18:00,89.70, ,85.80,
1986年11月01日 (10月),18:00,85.80, ,89.70,
1986年10月01日 (9月),18:00,89.70, ,91.70,
1986年09月01日 (8月),18:00,91.70, ,97.50,
1986年08月01日 (7月),18:00,97.50, ,100.00,
1986年07月01日 (6月),18:00,100.00, ,100.20,
1986年06月01日 (5月),18:00,100.20, ,100.00,
1986年05月01日 (4月),18:00,100.00, ,95.10,
1986年04月01日 (3月),18:00,95.10, ,96.00,
