公表日時,時間,結果,予想,前回,
2009年06月05日,21:30,-345K,-521K,-504K,
2009年05月08日,21:30,-539K,-580K,-699K,
2009年04月03日,21:30,-663K,-662K,-651K,
2009年03月06日,22:30,-651K,-636K,-598K,
2009年02月06日,22:30,-598K,-530K,-524K,
2009年01月09日,22:30,-524K,-475K,-533K,
2008年12月05日,22:30,-533K,-320K,-240K,
2008年11月07日,22:30,-240K,-200K,-159K,
2008年10月03日,21:30,-159K,-100K,-84K,
2008年09月05日,21:30,-84K,-73K,-51K,
2008年08月01日,21:30,-51K,-75K,-62K,
2008年07月03日,21:30,-62K,-60K,-49K,
2008年06月06日,22:30,-49K,-57K,-20K,
2008年05月02日,21:30,-20K,-80K,-80K,
2008年04月04日,21:30,-80K,-50K,-63K,
2008年03月07日,22:30,-63K,25K,-17K,
2008年02月01日 (1月),21:30,-22K, ,18K,
2008年01月04日 (12月),21:30,82K, ,94K,
2007年12月07日 (11月),21:30,115K, ,166K,
2007年11月02日 (10月),21:30,170K, ,110K,
2007年10月05日 (9月),21:30,96K, ,-4K,
2007年09月07日 (8月),21:30,93K, ,92K,
2007年08月03日 (7月),21:30,68K, ,132K,
2007年07月06日 (6月),21:30,69K, ,157K,
2007年06月01日 (5月),21:30,190K, ,88K,
2007年05月04日 (4月),21:30,80K, ,180K,
2007年04月06日 (3月),21:30,177K, ,97K,
2007年03月09日 (2月),21:30,97K, ,111K,
2007年02月02日 (1月),21:30,237K, ,172K,
2007年01月05日 (12月),21:30,172K, ,209K,
2006年12月08日 (11月),21:30,209K, ,3K,
2006年11月03日 (10月),21:30,3K, ,156K,
2006年10月06日 (9月),21:30,156K, ,185K,
2006年09月01日 (8月),21:30,185K, ,206K,
2006年08月04日 (7月),21:30,206K, ,77K,
2006年07月07日 (6月),21:30,77K, ,24K,
2006年06月02日 (5月),21:30,24K, ,182K,
2006年05月05日 (4月),21:30,182K, ,281K,
2006年04月07日 (3月),21:30,281K, ,315K,
2006年03月10日 (2月),21:30,315K, ,277K,
2006年02月03日 (1月),21:30,277K, ,158K,
2006年01月06日 (12月),21:30,158K, ,337K,
2005年12月02日 (11月),21:30,337K, ,84K,
2005年11月04日 (10月),21:30,84K, ,66K,
2005年10月07日 (9月),21:30,66K, ,196K,
2005年09月02日 (8月),21:30,196K, ,375K,
2005年08月05日 (7月),21:30,375K, ,243K,
2005年07月08日 (6月),21:30,243K, ,176K,
2005年06月03日 (5月),21:30,176K, ,363K,
2005年05月06日 (4月),21:30,363K, ,135K,
2005年04月01日 (3月),21:30,135K, ,239K,
2005年03月04日 (2月),21:30,239K, ,134K,
2005年02月04日 (1月),21:30,134K, ,129K,
2005年01月07日 (12月),21:30,129K, ,64K,
2004年12月03日 (11月),21:30,64K, ,345K,
2004年11月05日 (10月),21:30,345K, ,162K,
2004年10月08日 (9月),21:30,162K, ,132K,
2004年09月03日 (8月),21:30,132K, ,33K,
2004年08月06日 (7月),21:30,33K, ,74K,
2004年07月02日 (6月),21:30,74K, ,308K,
2004年06月04日 (5月),21:30,308K, ,248K,
2004年05月07日 (4月),21:30,248K, ,331K,
2004年04月02日 (3月),21:30,331K, ,46K,
2004年03月05日 (2月),21:30,46K, ,160K,
2004年02月06日 (1月),21:30,160K, ,123K,
2004年01月09日 (12月),21:30,123K, ,17K,
2003年12月05日 (11月),21:30,17K, ,196K,
2003年11月07日 (10月),21:30,196K, ,103K,
2003年10月03日 (9月),21:30,103K, ,-43K,
2003年09月05日 (8月),21:30,-43K, ,24K,
2003年08月01日 (7月),21:30,24K, ,9K,
2003年07月03日 (6月),21:30,9K, ,-10K,
2003年06月06日 (5月),21:30,-10K, ,-44K,
2003年05月02日 (4月),21:30,-44K, ,-210K,
2003年04月04日 (3月),21:30,-210K, ,-151K,
2003年03月07日 (2月),21:30,-151K, ,91K,
2003年02月07日 (1月),21:30,91K, ,-157K,
2003年01月10日 (12月),21:30,-157K, ,10K,
2002年12月06日 (11月),21:30,10K, ,125K,
2002年11月01日 (10月),21:30,125K, ,-60K,
2002年10月04日 (9月),21:30,-60K, ,-16K,
2002年09月06日 (8月),21:30,-16K, ,-84K,
2002年08月02日 (7月),21:30,-84K, ,56K,
2002年07月05日 (6月),21:30,56K, ,-8K,
2002年06月07日 (5月),21:30,-8K, ,-80K,
2002年05月03日 (4月),21:30,-80K, ,-20K,
2002年04月05日 (3月),21:30,-20K, ,-134K,
2002年03月08日 (2月),21:30,-134K, ,-139K,
2002年02月01日 (1月),21:30,-139K, ,-171K,
2002年01月04日 (12月),21:30,-171K, ,-294K,
2001年12月07日 (11月),21:30,-294K, ,-325K,
2001年11月02日 (10月),21:30,-325K, ,-241K,
2001年10月05日 (9月),21:30,-241K, ,-160K,
2001年09月07日 (8月),21:30,-160K, ,-112K,
2001年08月03日 (7月),21:30,-112K, ,-131K,
2001年07月06日 (6月),21:30,-131K, ,-38K,
2001年06月01日 (5月),21:30,-38K, ,-282K,
2001年05月04日 (4月),21:30,-282K, ,-25K,
2001年04月06日 (3月),21:30,-25K, ,71K,
2001年03月09日 (2月),21:30,71K, ,-27K,
2001年02月02日 (1月),21:30,-27K, ,142K,
2001年01月05日 (12月),21:30,142K, ,225K,
2000年12月08日 (11月),21:30,225K, ,-15K,
2000年11月03日 (10月),21:30,-15K, ,135K,
2000年10月06日 (9月),21:30,135K, ,-15K,
2000年09月01日 (8月),21:30,-15K, ,179K,
2000年08月04日 (7月),21:30,179K, ,-47K,
2000年07月07日 (6月),21:30,-47K, ,226K,
2000年06月02日 (5月),21:30,226K, ,287K,
2000年05月05日 (4月),21:30,287K, ,467K,
2000年04月07日 (3月),21:30,467K, ,130K,
2000年03月03日 (2月),21:30,130K, ,231K,
2000年02月04日 (1月),21:30,231K, ,295K,
2000年01月07日 (12月),21:30,295K, ,292K,
1999年12月03日 (11月),21:30,292K, ,400K,
1999年11月05日 (10月),21:30,400K, ,214K,
1999年10月01日 (9月),21:30,214K, ,166K,
1999年09月03日 (8月),21:30,166K, ,319K,
1999年08月06日 (7月),21:30,319K, ,261K,
1999年07月02日 (6月),21:30,261K, ,211K,
1999年06月04日 (5月),21:30,211K, ,376K,
1999年05月07日 (4月),21:30,376K, ,107K,
1999年04月02日 (3月),21:30,107K, ,411K,
1999年03月05日 (2月),21:30,411K, ,125K,
1999年02月05日 (1月),21:30,125K, ,347K,
1999年01月01日 (12月),21:30,347K, ,282K,
1998年12月04日 (11月),21:30,282K, ,198K,
1998年11月06日 (10月),21:30,198K, ,223K,
1998年10月02日 (9月),21:30,223K, ,347K,
1998年09月04日 (8月),21:30,347K, ,124K,
1998年08月07日 (7月),21:30,124K, ,218K,
1998年07月03日 (6月),21:30,218K, ,406K,
1998年06月05日 (5月),21:30,406K, ,279K,
1998年05月01日 (4月),21:30,279K, ,151K,
1998年04月03日 (3月),21:30,151K, ,196K,
1998年03月06日 (2月),21:30,196K, ,276K,
1998年02月06日 (1月),21:30,276K, ,303K,
1998年01月02日 (12月),21:30,303K, ,306K,
1997年12月05日 (11月),21:30,306K, ,341K,
1997年11月07日 (10月),21:30,341K, ,512K,
1997年10月03日 (9月),21:30,512K, ,-39K,
1997年09月05日 (8月),21:30,-39K, ,313K,
1997年08月01日 (7月),21:30,313K, ,267K,
1997年07月04日 (6月),21:30,267K, ,259K,
1997年06月06日 (5月),21:30,259K, ,292K,
1997年05月02日 (4月),21:30,292K, ,316K,
1997年04月04日 (3月),21:30,316K, ,303K,
1997年03月07日 (2月),21:30,303K, ,235K,
1997年02月07日 (1月),21:30,235K, ,171K,
1997年01月03日 (12月),21:30,171K, ,298K,
1996年12月06日 (11月),21:30,298K, ,250K,
1996年11月01日 (10月),21:30,250K, ,225K,
1996年10月04日 (9月),21:30,225K, ,172K,
1996年09月06日 (8月),21:30,172K, ,256K,
1996年08月02日 (7月),21:30,256K, ,288K,
1996年07月05日 (6月),21:30,288K, ,321K,
1996年06月07日 (5月),21:30,321K, ,164K,
1996年05月03日 (4月),21:30,164K, ,267K,
1996年04月05日 (3月),21:30,267K, ,431K,
1996年03月01日 (2月),21:30,431K, ,-19K,
1996年02月02日 (1月),21:30,-19K, ,133K,
1996年01月05日 (12月),21:30,133K, ,149K,
1995年12月01日 (11月),21:30,149K, ,154K,
1995年11月03日 (10月),21:30,154K, ,242K,
1995年10月06日 (9月),21:30,242K, ,248K,
1995年09月01日 (8月),21:30,248K, ,102K,
1995年08月04日 (7月),21:30,102K, ,235K,
1995年07月07日 (6月),21:30,235K, ,-16K,
1995年06月02日 (5月),21:30,-16K, ,162K,
1995年05月05日 (4月),21:30,162K, ,222K,
1995年04月07日 (3月),21:30,222K, ,203K,
1995年03月03日 (2月),21:30,203K, ,326K,
1995年02月03日 (1月),21:30,326K, ,275K,
1995年01月06日 (12月),21:30,275K, ,420K,
1994年12月02日 (11月),21:30,420K, ,213K,
1994年11月04日 (10月),21:30,213K, ,352K,
1994年10月07日 (9月),21:30,352K, ,277K,
1994年09月02日 (8月),21:30,277K, ,378K,
1994年08月05日 (7月),21:30,378K, ,316K,
1994年07月01日 (6月),21:30,316K, ,334K,
1994年06月03日 (5月),21:30,334K, ,349K,
1994年05月06日 (4月),21:30,349K, ,465K,
1994年04月01日 (3月),21:30,465K, ,200K,
1994年03月04日 (2月),21:30,200K, ,272K,
1994年02月04日 (1月),21:30,272K, ,312K,
1994年01月07日 (12月),21:30,312K, ,262K,
1993年12月03日 (11月),21:30,262K, ,286K,
1993年11月05日 (10月),21:30,286K, ,239K,
1993年10月01日 (9月),21:30,239K, ,160K,
1993年09月03日 (8月),21:30,160K, ,298K,
1993年08月06日 (7月),21:30,298K, ,181K,
1993年07月02日 (6月),21:30,181K, ,267K,
1993年06月04日 (5月),21:30,267K, ,308K,
1993年05月07日 (4月),21:30,308K, ,-49K,
1993年04月02日 (3月),21:30,-49K, ,242K,
1993年03月05日 (2月),21:30,242K, ,310K,
1993年02月05日 (1月),21:30,310K, ,211K,
1993年01月01日 (12月),21:30,211K, ,138K,
1992年12月04日 (11月),21:30,138K, ,180K,
1992年11月06日 (10月),21:30,180K, ,36K,
1992年10月02日 (9月),21:30,36K, ,141K,
1992年09月04日 (8月),21:30,141K, ,68K,
1992年08月07日 (7月),21:30,68K, ,67K,
1992年07月03日 (6月),21:30,67K, ,127K,
1992年06月05日 (5月),21:30,127K, ,159K,
1992年05月01日 (4月),21:30,159K, ,54K,
1992年04月03日 (3月),21:30,54K, ,-63K,
1992年03月06日 (2月),21:30,-63K, ,53K,
1992年02月07日 (1月),21:30,53K, ,25K,
1992年01月03日 (12月),21:30,25K, ,-57K,
1991年12月06日 (11月),21:30,-57K, ,16K,
1991年11月01日 (10月),21:30,16K, ,32K,
1991年10月04日 (9月),21:30,32K, ,6K,
1991年09月06日 (8月),21:30,6K, ,-36K,
1991年08月02日 (7月),21:30,-36K, ,97K,
1991年07月05日 (6月),21:30,97K, ,-125K,
1991年06月07日 (5月),21:30,-125K, ,-211K,
1991年05月03日 (4月),21:30,-211K, ,-158K,
1991年04月05日 (3月),21:30,-158K, ,-305K,
1991年03月01日 (2月),21:30,-305K, ,-120K,
1991年02月01日 (1月),21:30,-120K, ,-56K,
1991年01月04日 (12月),21:30,-56K, ,-150K,
1990年12月07日 (11月),21:30,-150K, ,-159K,
1990年11月02日 (10月),21:30,-159K, ,-88K,
1990年10月05日 (9月),21:30,-88K, ,-221K,
1990年09月07日 (8月),21:30,-221K, ,-28K,
1990年08月03日 (7月),21:30,-28K, ,23K,
1990年07月06日 (6月),21:30,23K, ,152K,
1990年06月01日 (5月),21:30,152K, ,40K,
1990年05月04日 (4月),21:30,40K, ,215K,
1990年04月06日 (3月),21:30,215K, ,248K,
1990年03月02日 (2月),21:30,248K, ,335K,
1990年02月02日 (1月),21:30,335K, ,96K,
1990年01月05日 (12月),21:30,96K, ,277K,
1989年12月01日 (11月),21:30,277K, ,111K,
1989年11月03日 (10月),21:30,111K, ,250K,
1989年10月06日 (9月),21:30,250K, ,49K,
1989年09月01日 (8月),21:30,49K, ,40K,
1989年08月04日 (7月),21:30,40K, ,116K,
1989年07月07日 (6月),21:30,116K, ,118K,
1989年06月02日 (5月),21:30,118K, ,173K,
1989年05月05日 (4月),21:30,173K, ,193K,
1989年04月07日 (3月),21:30,193K, ,258K,
1989年03月03日 (2月),21:30,258K, ,262K,
1989年02月03日 (1月),21:30,262K, ,290K,
1989年01月06日 (12月),21:30,290K, ,339K,
1988年12月02日 (11月),21:30,339K, ,268K,
1988年11月04日 (10月),21:30,268K, ,339K,
1988年10月07日 (9月),21:30,339K, ,124K,
1988年09月02日 (8月),21:30,124K, ,222K,
1988年08月05日 (7月),21:30,222K, ,363K,
1988年07月01日 (6月),21:30,363K, ,229K,
1988年06月03日 (5月),21:30,229K, ,245K,
1988年05月06日 (4月),21:30,245K, ,276K,
1988年04月01日 (3月),21:30,276K, ,453K,
1988年03月04日 (2月),21:30,453K, ,94K,
1988年02月05日 (1月),21:30,94K, ,294K,
1988年01月01日 (12月),21:30,294K, ,232K,
1987年12月04日 (11月),21:30,232K, ,492K,
1987年11月06日 (10月),21:30,492K, ,228K,
1987年10月02日 (9月),21:30,228K, ,171K,
1987年09月04日 (8月),21:30,171K, ,347K,
1987年08月07日 (7月),21:30,347K, ,172K,
1987年07月03日 (6月),21:30,172K, ,226K,
1987年06月05日 (5月),21:30,226K, ,338K,
1987年05月01日 (4月),21:30,338K, ,249K,
1987年04月03日 (3月),21:30,249K, ,232K,
1987年03月06日 (2月),21:30,232K, ,172K,
1987年02月06日 (1月),21:30,172K, ,205K,
1987年01月02日 (12月),21:30,205K, ,186K,
1986年12月05日 (11月),21:30,186K, ,186K,
1986年11月07日 (10月),21:30,186K, ,347K,
1986年10月03日 (9月),21:30,347K, ,114K,
1986年09月05日 (8月),21:30,114K, ,318K,
1986年08月01日 (7月),21:30,318K, ,-94K,
1986年07月04日 (6月),21:30,-94K, ,127K,
1986年06月06日 (5月),21:30,127K, ,187K,
1986年05月02日 (4月),21:30,187K, ,94K,
1986年04月04日 (3月),21:30,94K, ,107K,
1986年03月07日 (2月),21:30,107K, ,125K,
1986年02月07日 (1月),21:30,125K, ,167K,
1986年01月03日 (12月),21:30,167K, ,209K,
1985年12月06日 (11月),21:30,209K, ,188K,
1985年11月01日 (10月),21:30,188K, ,203K,
1985年10月04日 (9月),21:30,203K, ,193K,
1985年09月06日 (8月),21:30,193K, ,190K,
1985年08月02日 (7月),21:30,190K, ,146K,
1985年07月05日 (6月),21:30,146K, ,274K,
1985年06月07日 (5月),21:30,274K, ,196K,
1985年05月03日 (4月),21:30,196K, ,346K,
1985年04月05日 (3月),21:30,346K, ,124K,
1985年03月01日 (2月),21:30,124K, ,266K,
1985年02月01日 (1月),21:30,266K, ,128K,
1985年01月04日 (12月),21:30,128K, ,349K,
1984年12月07日 (11月),21:30,349K, ,286K,
1984年11月02日 (10月),21:30,286K, ,310K,
1984年10月05日 (9月),21:30,310K, ,242K,
1984年09月07日 (8月),21:30,242K, ,313K,
1984年08月03日 (7月),21:30,313K, ,379K,
1984年07月06日 (6月),21:30,379K, ,308K,
1984年06月01日 (5月),21:30,308K, ,363K,
1984年05月04日 (4月),21:30,363K, ,275K,
1984年04月06日 (3月),21:30,275K, ,481K,
1984年03月02日 (2月),21:30,481K, ,446K,
1984年02月03日 (1月),21:30,446K, ,356K,
1984年01月06日 (12月),21:30,356K, ,353K,
1983年12月02日 (11月),21:30,353K, ,271K,
1983年11月04日 (10月),21:30,271K, ,"1,115K",
1983年10月07日 (9月),21:30,"1,115K", ,-308K,
1983年09月02日 (8月),21:30,-308K, ,418K,
1983年08月05日 (7月),21:30,418K, ,379K,
1983年07月01日 (6月),21:30,379K, ,277K,
1983年06月03日 (5月),21:30,277K, ,276K,
1983年05月06日 (4月),21:30,276K, ,172K,
1983年04月01日 (3月),21:30,172K, ,-75K,
1983年03月04日 (2月),21:30,-75K, ,224K,
1983年02月04日 (1月),21:30,224K, ,-14K,
1983年01月07日 (12月),21:30,-14K, ,-123K,
1982年12月03日 (11月),21:30,-123K, ,-277K,
1982年11月05日 (10月),21:30,-277K, ,-181K,
1982年10月01日 (9月),21:30,-181K, ,-158K,
1982年09月03日 (8月),21:30,-158K, ,-342K,
1982年08月06日 (7月),21:30,-342K, ,-243K,
1982年07月02日 (6月),21:30,-243K, ,-45K,
1982年06月04日 (5月),21:30,-45K, ,-280K,
1982年05月07日 (4月),21:30,-280K, ,-130K,
1982年04月02日 (3月),21:30,-130K, ,-5K,
1982年03月05日 (2月),21:30,-5K, ,-326K,
1982年02月05日 (1月),21:30,-326K, ,-278K,
1982年01月01日 (12月),21:30,-278K, ,-209K,
1981年12月04日 (11月),21:30,-209K, ,-99K,
1981年11月06日 (10月),21:30,-99K, ,-87K,
1981年10月02日 (9月),21:30,-87K, ,-36K,
1981年09月04日 (8月),21:30,-36K, ,112K,
1981年08月07日 (7月),21:30,112K, ,197K,
1981年07月03日 (6月),21:30,197K, ,10K,
1981年06月05日 (5月),21:30,10K, ,73K,
1981年05月01日 (4月),21:30,73K, ,105K,
1981年04月03日 (3月),21:30,105K, ,68K,
1981年03月06日 (2月),21:30,68K, ,94K,
1981年02月06日 (1月),21:30,94K, ,195K,
1981年01月02日 (12月),21:30,195K, ,257K,
1980年12月05日 (11月),21:30,257K, ,281K,
1980年11月07日 (10月),21:30,281K, ,113K,
1980年10月03日 (9月),21:30,113K, ,260K,
1980年09月05日 (8月),21:30,260K, ,-262K,
1980年08月01日 (7月),21:30,-262K, ,-320K,
1980年07月04日 (6月),21:30,-320K, ,-431K,
1980年06月06日 (5月),21:30,-431K, ,-144K,
1980年05月02日 (4月),21:30,-144K, ,112K,
1980年04月04日 (3月),21:30,112K, ,80K,
1980年03月07日 (2月),21:30,80K, ,129K,
1980年02月01日 (1月),21:30,129K, ,97K,
1980年01月04日 (12月),21:30,97K, ,94K,
1979年12月07日 (11月),21:30,94K, ,157K,
1979年11月02日 (10月),21:30,157K, ,28K,
1979年10月05日 (9月),21:30,28K, ,82K,
1979年09月07日 (8月),21:30,82K, ,106K,
1979年08月03日 (7月),21:30,106K, ,318K,
1979年07月06日 (6月),21:30,318K, ,373K,
1979年06月01日 (5月),21:30,373K, ,-62K,
1979年05月04日 (4月),21:30,-62K, ,426K,
1979年04月06日 (3月),21:30,426K, ,244K,
1979年03月02日 (2月),21:30,244K, ,137K,
1979年02月02日 (1月),21:30,137K, ,282K,
1979年01月05日 (12月),21:30,282K, ,437K,
1978年12月01日 (11月),21:30,437K, ,336K,
1978年11月03日 (10月),21:30,336K, ,137K,
1978年10月06日 (9月),21:30,137K, ,276K,
1978年09月01日 (8月),21:30,276K, ,254K,
1978年08月04日 (7月),21:30,254K, ,442K,
1978年07月07日 (6月),21:30,442K, ,346K,
1978年06月02日 (5月),21:30,346K, ,702K,
1978年05月05日 (4月),21:30,702K, ,513K,
1978年04月07日 (3月),21:30,513K, ,353K,
1978年03月03日 (2月),21:30,353K, ,187K,
1978年02月03日 (1月),21:30,187K, ,235K,
1978年01月06日 (12月),21:30,235K, ,379K,
