公表日時,時間,結果,予想,前回,
1995年01月01日 (12月),18:00,56.10, ,59.20,
1994年12月01日 (11月),18:00,59.20, ,59.40,
1994年11月01日 (10月),18:00,59.40, ,59.00,
1994年10月01日 (9月),18:00,59.00, ,58.00,
1994年09月01日 (8月),18:00,58.00, ,58.50,
1994年08月01日 (7月),18:00,58.50, ,58.80,
1994年07月01日 (6月),18:00,58.80, ,58.20,
1994年06月01日 (5月),18:00,58.20, ,57.40,
1994年05月01日 (4月),18:00,57.40, ,56.90,
1994年04月01日 (3月),18:00,56.90, ,56.50,
1994年03月01日 (2月),18:00,56.50, ,56.00,
1994年02月01日 (1月),18:00,56.00, ,55.60,
1994年01月01日 (12月),18:00,55.60, ,53.80,
1993年12月01日 (11月),18:00,53.80, ,53.40,
1993年11月01日 (10月),18:00,53.40, ,50.80,
1993年10月01日 (9月),18:00,50.80, ,50.70,
1993年09月01日 (8月),18:00,50.70, ,50.20,
1993年08月01日 (7月),18:00,50.20, ,49.60,
1993年07月01日 (6月),18:00,49.60, ,51.20,
1993年06月01日 (5月),18:00,51.20, ,50.20,
1993年05月01日 (4月),18:00,50.20, ,53.50,
1993年04月01日 (3月),18:00,53.50, ,55.20,
1993年03月01日 (2月),18:00,55.20, ,55.80,
1993年02月01日 (1月),18:00,55.80, ,54.20,
1993年01月01日 (12月),18:00,54.20, ,53.60,
1992年12月01日 (11月),18:00,53.60, ,50.30,
1992年11月01日 (10月),18:00,50.30, ,49.70,
1992年10月01日 (9月),18:00,49.70, ,53.40,
1992年09月01日 (8月),18:00,53.40, ,53.90,
1992年08月01日 (7月),18:00,53.90, ,53.60,
1992年07月01日 (6月),18:00,53.60, ,55.70,
1992年06月01日 (5月),18:00,55.70, ,52.60,
1992年05月01日 (4月),18:00,52.60, ,54.60,
1992年04月01日 (3月),18:00,54.60, ,52.70,
1992年03月01日 (2月),18:00,52.70, ,47.30,
1992年02月01日 (1月),18:00,47.30, ,46.80,
1992年01月01日 (12月),18:00,46.80, ,49.50,
1991年12月01日 (11月),18:00,49.50, ,53.10,
1991年11月01日 (10月),18:00,53.10, ,54.90,
1991年10月01日 (9月),18:00,54.90, ,52.90,
1991年09月01日 (8月),18:00,52.90, ,50.60,
1991年08月01日 (7月),18:00,50.60, ,50.30,
1991年07月01日 (6月),18:00,50.30, ,44.50,
1991年06月01日 (5月),18:00,44.50, ,42.80,
1991年05月01日 (4月),18:00,42.80, ,40.70,
1991年04月01日 (3月),18:00,40.70, ,39.40,
1991年03月01日 (2月),18:00,39.40, ,39.20,
1991年02月01日 (1月),18:00,39.20, ,40.80,
1991年01月01日 (12月),18:00,40.80, ,41.30,
1990年12月01日 (11月),18:00,41.30, ,43.20,
1990年11月01日 (10月),18:00,43.20, ,44.50,
1990年10月01日 (9月),18:00,44.50, ,46.10,
1990年09月01日 (8月),18:00,46.10, ,46.60,
1990年08月01日 (7月),18:00,46.60, ,49.20,
1990年07月01日 (6月),18:00,49.20, ,49.50,
1990年06月01日 (5月),18:00,49.50, ,50.00,
1990年05月01日 (4月),18:00,50.00, ,49.90,
1990年04月01日 (3月),18:00,49.90, ,49.10,
1990年03月01日 (2月),18:00,49.10, ,47.20,
1990年02月01日 (1月),18:00,47.20, ,47.40,
1990年01月01日 (12月),18:00,47.40, ,46.80,
1989年12月01日 (11月),18:00,46.80, ,46.80,
1989年11月01日 (10月),18:00,46.80, ,46.00,
1989年10月01日 (9月),18:00,46.00, ,45.10,
1989年09月01日 (8月),18:00,45.10, ,45.90,
1989年08月01日 (7月),18:00,45.90, ,47.30,
1989年07月01日 (6月),18:00,47.30, ,49.30,
1989年06月01日 (5月),18:00,49.30, ,52.20,
1989年05月01日 (4月),18:00,52.20, ,51.50,
1989年04月01日 (3月),18:00,51.50, ,54.10,
1989年03月01日 (2月),18:00,54.10, ,54.70,
1989年02月01日 (1月),18:00,54.70, ,56.00,
1989年01月01日 (12月),18:00,56.00, ,55.60,
1988年12月01日 (11月),18:00,55.60, ,55.40,
1988年11月01日 (10月),18:00,55.40, ,54.50,
1988年10月01日 (9月),18:00,54.50, ,56.00,
1988年09月01日 (8月),18:00,56.00, ,58.20,
1988年08月01日 (7月),18:00,58.20, ,59.30,
1988年07月01日 (6月),18:00,59.30, ,55.50,
1988年06月01日 (5月),18:00,55.50, ,55.80,
1988年05月01日 (4月),18:00,55.80, ,54.60,
1988年04月01日 (3月),18:00,54.60, ,56.20,
1988年03月01日 (2月),18:00,56.20, ,57.50,
1988年02月01日 (1月),18:00,57.50, ,61.00,
1988年01月01日 (12月),18:00,61.00, ,58.80,
1987年12月01日 (11月),18:00,58.80, ,60.70,
1987年11月01日 (10月),18:00,60.70, ,60.00,
1987年10月01日 (9月),18:00,60.00, ,59.30,
1987年09月01日 (8月),18:00,59.30, ,57.50,
1987年08月01日 (7月),18:00,57.50, ,57.40,
1987年07月01日 (6月),18:00,57.40, ,57.20,
1987年06月01日 (5月),18:00,57.20, ,55.50,
1987年05月01日 (4月),18:00,55.50, ,55.00,
1987年04月01日 (3月),18:00,55.00, ,52.60,
1987年03月01日 (2月),18:00,52.60, ,54.90,
1987年02月01日 (1月),18:00,54.90, ,50.50,
1987年01月01日 (12月),18:00,50.50, ,51.20,
1986年12月01日 (11月),18:00,51.20, ,51.20,
1986年11月01日 (10月),18:00,51.20, ,52.40,
