公表日時,時間,結果
2003-05-02,21:30,-44000
2003-06-06,21:30,-10000
2003-07-03,21:30,9000
2003-08-01,21:30,24000
2003-09-05,21:30,-43000
2003-10-03,21:30,103000
2003-11-07,21:30,196000
2003-12-05,21:30,17000
2004-01-09,21:30,123000
2004-02-06,21:30,160000
2004-03-05,21:30,46000
2004-04-02,21:30,331000
2004-05-07,21:30,248000
2004-06-04,21:30,308000
2004-07-02,21:30,74000
2004-08-06,21:30,33000
2004-09-03,21:30,132000
2004-10-08,21:30,162000
2004-11-05,21:30,345000
2004-12-03,21:30,64000
2005-01-07,21:30,129000
2005-02-04,21:30,134000
2005-03-04,21:30,239000
2005-04-01,21:30,135000
2005-05-06,21:30,363000
2005-06-03,21:30,176000
2005-07-08,21:30,243000
2005-08-05,21:30,375000
2005-09-02,21:30,196000
2005-10-07,21:30,66000
2005-11-04,21:30,84000
2005-12-02,21:30,337000
2006-01-06,21:30,158000
2006-02-03,21:30,277000
2006-03-10,21:30,315000
2006-04-07,21:30,281000
2006-05-05,21:30,182000
2006-06-02,21:30,24000
2006-07-07,21:30,77000
2006-08-04,21:30,206000
2006-09-01,21:30,185000
2006-10-06,21:30,156000
2006-11-03,21:30,3000
2006-12-08,21:30,209000
2007-01-05,21:30,172000
2007-02-02,21:30,237000
2007-03-09,21:30,97000
2007-04-06,21:30,177000
2007-05-04,21:30,80000
2007-06-01,21:30,190000
2007-07-06,21:30,69000
2007-08-03,21:30,68000
2007-09-07,21:30,93000
2007-10-05,21:30,96000
2007-11-02,21:30,170000
2007-12-07,21:30,115000
2008-01-04,21:30,82000
2008-02-01,21:30,-22000
2008-03-07,22:30,-63000
2008-04-04,21:30,-80000
2008-05-02,21:30,-20000
2008-06-06,22:30,-49000
2008-07-03,21:30,-62000
2008-08-01,21:30,-51000
2008-09-05,21:30,-84000
2008-10-03,21:30,-159000
2008-11-07,22:30,-240000
2008-12-05,22:30,-533000
2009-01-09,22:30,-524000
2009-02-06,22:30,-598000
2009-03-06,22:30,-651000
2009-04-03,21:30,-663000
2009-05-08,21:30,-539000
2009-06-05,21:30,-345000
2009-07-02,21:30,-467000
2009-08-07,21:30,-247000
2009-09-04,21:30,-216000
2009-10-02,21:30,-263000
2009-11-06,22:30,-190000
2009-12-04,22:30,-11000
2010-01-08,22:30,-85000
2010-02-05,22:30,-20000
2010-03-05,22:30,-36000
2010-04-02,21:30,162000
2010-05-07,21:30,290000
2010-06-04,21:30,431000
2010-07-02,21:30,-125000
2010-08-06,21:30,-131000
2010-09-03,21:30,-54000
2010-10-08,21:30,-95000
2010-11-05,21:30,151000
2010-12-03,22:30,39000
2011-01-07,22:30,103000
2011-02-04,22:30,36000
