Date,Time,Result
2001-01-01,18:00,128.6
2001-02-01,18:00,115.7
2001-03-01,18:00,109.2
2001-04-01,18:00,116.9
2001-05-01,18:00,109.9
2001-06-01,18:00,116.1
2001-07-01,18:00,118.9
2001-08-01,18:00,116.3
2001-09-01,18:00,114.0
2001-10-01,18:00,97.0
2001-11-01,18:00,85.3
2001-12-01,18:00,84.9
2002-01-01,18:00,94.6
2002-02-01,18:00,97.8
2002-03-01,18:00,95.0
2002-04-01,18:00,110.7
2002-05-01,18:00,108.5
2002-06-01,18:00,110.3
2002-07-01,18:00,106.3
2002-08-01,18:00,97.4
2002-09-01,18:00,94.5
2002-10-01,18:00,93.7
2002-11-01,18:00,79.6
2002-12-01,18:00,84.9
2003-01-01,18:00,80.7
2003-02-01,18:00,78.8
2003-03-01,18:00,64.8
2003-04-01,18:00,61.4
2003-05-01,18:00,81.0
2003-06-01,18:00,83.6
2003-07-01,18:00,83.5
2003-08-01,18:00,77.0
2003-09-01,18:00,81.7
2003-10-01,18:00,77.0
2003-11-01,18:00,81.7
2003-12-01,18:00,92.5
2004-01-01,18:00,94.8
2004-02-01,18:00,97.7
2004-03-01,18:00,88.5
2004-04-01,18:00,88.5
2004-05-01,18:00,93.0
2004-06-01,18:00,93.1
2004-07-01,18:00,102.8
2004-08-01,18:00,105.7
2004-09-01,18:00,98.7
2004-10-01,18:00,96.7
2004-11-01,18:00,92.9
2004-12-01,18:00,92.6
2005-01-01,18:00,102.7
2005-02-01,18:00,105.1
2005-03-01,18:00,104.4
2005-04-01,18:00,103.0
2005-05-01,18:00,97.5
2005-06-01,18:00,103.1
2005-07-01,18:00,106.2
2005-08-01,18:00,103.6
2005-09-01,18:00,105.5
2005-10-01,18:00,87.5
2005-11-01,18:00,85.2
2005-12-01,18:00,98.3
2006-01-01,18:00,103.8
2006-02-01,18:00,106.8
2006-03-01,18:00,102.7
2006-04-01,18:00,107.5
2006-05-01,18:00,109.8
2006-06-01,18:00,104.7
2006-07-01,18:00,105.4
2006-08-01,18:00,107.0
2006-09-01,18:00,100.2
2006-10-01,18:00,105.9
2006-11-01,18:00,105.1
2006-12-01,18:00,105.3
2007-01-01,18:00,110.0
2007-02-01,18:00,110.2
2007-03-01,18:00,111.2
2007-04-01,18:00,108.2
2007-05-01,18:00,106.3
2007-06-01,18:00,108.5
2007-07-01,18:00,105.3
2007-08-01,18:00,111.9
2007-09-01,18:00,105.6
2007-10-01,18:00,99.5
2007-11-01,18:00,95.2
2007-12-01,18:00,87.8
2008-01-01,18:00,90.6
2008-02-27,00:00,75.0
2008-03-25,23:00,64.5
2008-04-29,23:00,62.3
2008-05-28,00:00,52.7
2008-06-24,23:00,50.4
2008-07-29,23:00,51.9
2008-08-26,23:00,56.9
2008-09-30,23:00,59.8
2008-10-28,23:00,38.0
2008-11-26,00:00,44.9
2008-12-31,00:00,38.0
2009-01-28,00:00,37.7
2009-02-25,00:00,25.0
2009-03-31,23:00,26.0
